Grids,R0C0,R0C1,R0C2,R0C3,R0C4,R0C5,R1C0,R1C1,R1C2,R1C3,R1C4,R1C5,R2C0,R2C1,R2C2,R2C3,R2C4,R2C5,R3C0,R3C1,R3C2,R3C3,R3C4,R3C5,R4C0,R4C1,R4C2,R4C3,R4C4,R4C5
B0,0,7,5,42,0,0,0,3,3,1080,109,9,0,2,1,706,367,11,0,0,208,33,66,3,0,0,5,17,3,0
B1,0,3,2,16,0,0,0,1,2,289,35,10,0,0,0,218,123,7,0,0,85,16,9,0,0,0,4,1,2,0
B2,0,3,2,11,0,0,0,2,2,273,32,5,0,0,0,177,123,2,0,0,92,14,21,0,0,0,7,5,1,0
B3,0,2,0,19,0,1,0,0,2,271,33,3,0,1,0,144,120,7,0,0,93,21,24,1,0,0,7,5,1,0
B4,0,4,2,17,0,2,0,0,2,192,23,4,0,1,1,117,101,4,0,0,101,17,33,1,0,1,2,10,1,0
B5,0,6,0,21,0,0,0,2,6,139,27,3,0,1,0,103,122,3,0,0,79,24,30,0,0,3,12,3,0,0
B6,0,8,1,24,0,0,0,1,0,108,23,10,0,2,1,63,119,8,0,0,75,26,26,1,0,2,7,6,5,0
B7,0,10,2,14,0,1,0,3,4,98,18,5,0,2,0,57,85,6,0,0,96,26,25,1,0,2,12,8,1,0
B8,0,10,2,20,0,3,0,2,3,86,13,8,0,4,0,35,86,8,0,0,78,28,26,1,0,1,12,4,1,0
B9,0,9,0,21,0,2,0,2,1,57,22,6,0,2,1,25,83,9,0,0,74,38,26,1,0,1,13,13,5,0
B10,0,11,2,14,0,2,0,5,6,49,16,5,0,3,0,21,57,10,0,0,76,28,33,1,0,2,12,8,3,0
B11,0,8,1,10,0,1,0,2,8,57,16,11,0,2,0,27,49,13,0,0,80,25,18,0,0,2,27,12,3,0
B12,0,14,3,19,0,2,0,3,3,48,26,12,1,3,0,16,48,7,0,0,85,40,26,1,0,2,15,10,6,0
B13,0,26,0,12,0,3,0,5,4,55,14,8,1,3,2,13,31,8,0,0,83,35,13,4,0,3,29,15,3,0
B14,0,9,1,22,0,3,0,7,10,58,13,4,0,4,2,19,46,10,0,0,78,41,18,0,0,4,28,13,6,0
B15,0,14,2,18,0,4,0,11,5,39,19,10,0,9,0,11,36,12,0,1,50,32,13,1,0,7,25,18,7,0
B16,0,9,2,18,0,7,0,5,10,54,24,11,0,8,2,12,30,16,0,0,56,43,18,0,0,6,24,13,8,0
